Service Name,Date,Cost
Zoom,2025-05-01,13.00
Google Meet,2025-05-01,15.00
Slack,2025-05-01,18.00
Microsoft Teams,2025-05-01,19.00
Dropbox,2025-05-01,16.00
Zoom,2025-05-02,13.30
Google Meet,2025-05-02,15.30
Slack,2025-05-02,18.30
Microsoft Teams,2025-05-02,19.30
Dropbox,2025-05-02,16.30
Zoom,2025-05-03,13.60
Google Meet,2025-05-03,15.60
Slack,2025-05-03,18.60
Microsoft Teams,2025-05-03,19.60
Dropbox,2025-05-03,16.60
Zoom,2025-05-04,13.90
Google Meet,2025-05-04,15.90
Slack,2025-05-04,18.90
Microsoft Teams,2025-05-04,19.90
Dropbox,2025-05-04,16.90
Zoom,2025-05-05,14.20
Google Meet,2025-05-05,16.20
Slack,2025-05-05,19.20
Microsoft Teams,2025-05-05,20.20
Dropbox,2025-05-05,17.20
Zoom,2025-05-06,14.50
Google Meet,2025-05-06,16.50
Slack,2025-05-06,19.50
Microsoft Teams,2025-05-06,20.50
Dropbox,2025-05-06,17.50
Zoom,2025-05-07,14.80
Google Meet,2025-05-07,16.80
Slack,2025-05-07,19.80
Microsoft Teams,2025-05-07,20.80
Dropbox,2025-05-07,17.80
Zoom,2025-05-08,15.10
Google Meet,2025-05-08,17.10
Slack,2025-05-08,20.10
Microsoft Teams,2025-05-08,21.10
Dropbox,2025-05-08,18.10
Zoom,2025-05-09,15.40
Google Meet,2025-05-09,17.40
Slack,2025-05-09,20.40
Microsoft Teams,2025-05-09,21.40
Dropbox,2025-05-09,18.40
Zoom,2025-05-10,15.70
Google Meet,2025-05-10,17.70
Slack,2025-05-10,20.70
Microsoft Teams,2025-05-10,21.70
Dropbox,2025-05-10,18.70
